Timestamp,Temperature(ï¿½C),Humidity(%)
09:56:52,24.6,54.0
09:56:54,24.6,54.0
09:56:56,24.6,54.0
09:56:58,24.7,54.0
09:57:00,24.7,54.0
09:57:02,24.7,53.9
09:57:04,24.7,53.9
09:57:06,24.7,53.9
09:57:08,24.7,53.9
09:57:10,24.7,53.9
09:57:12,24.8,58.9
09:57:14,24.9,62.0
09:57:16,25.0,67.0
09:57:18,25.1,66.8
09:57:20,25.2,66.4
09:57:22,25.3,65.9
09:57:24,25.4,65.2
09:57:26,25.4,64.8
09:57:28,25.4,64.0
09:57:30,25.5,63.3
09:57:32,25.5,62.5
09:57:34,25.6,61.8
09:57:36,25.6,61.1
09:57:38,25.7,66.2
09:57:40,25.8,69.6
09:57:42,26.1,75.6
09:57:44,26.3,78.2
09:57:46,26.6,79.7
09:57:48,26.7,81.5
09:57:50,26.7,81.6
